,date,headline,link,year
0,2012-01-01,"PH seen to expand, withstand turbulent ’12",http://business.inquirer.net/37937/ph-seen-to-expand-withstand-turbulent-%e2%80%9912,2012
1,2012-01-01,Impact of financial crisis seen to persist in 3-5 yrs,http://business.inquirer.net/37931/impact-of-financial-crisis-seen-to-persist-in-3-5-yrs,2012
2,2012-01-01,PH likely to hit $1.4B mine investment goal,http://business.inquirer.net/37925/ph-likely-to-hit-1-4b-mine-investment-goal,2012
3,2012-01-01,Low interest rates seen to cut into bank profits,http://business.inquirer.net/37919/low-interest-rates-seen-to-cut-into-bank-profits,2012
4,2012-01-01,Market appears upbeat,http://business.inquirer.net/37915/market-appears-upbeat,2012
5,2012-01-01,Oil import bill up 27%,http://business.inquirer.net/37911/oil-import-bill-up-27,2012
6,2012-01-01,PNOC-EC to put up 2 power plants,http://business.inquirer.net/37907/pnoc-ec-to-put-up-2-power-plants,2012
7,2012-01-01,Gov’t to spend P35.9B on irrigation in 2012,http://business.inquirer.net/37903/gov%e2%80%99t-to-spend-p35-9b-on-irrigation-in-2012,2012
8,2012-01-01,Stocks poised to continue climb for 4th straight year,http://business.inquirer.net/37899/stocks-poised-to-continue-climb-for-4th-straight-year,2012
9,2012-01-01,What government should prioritize in 2012,http://business.inquirer.net/37895/what-government-should-prioritize-in-2012,2012
10,2012-01-01,Unexpected holiday present,http://business.inquirer.net/37889/unexpected-holiday-present,2012
11,2012-01-01,Why our mining laws are ineffective,http://business.inquirer.net/37885/why-our-mining-laws-are-ineffective,2012
12,2012-01-01,Tampakan firms to sell excess power,http://business.inquirer.net/37881/tampakan-firms-to-sell-excess-power,2012
13,2012-01-01,Feedwheat imports on the upswing,http://business.inquirer.net/37877/feedwheat-imports-on-the-upswing,2012
14,2012-01-01,SEAir expanding fleet,http://business.inquirer.net/37873/seair-expanding-fleet,2012
15,2012-01-01,The case of the missing IRA,http://business.inquirer.net/37867/the-case-of-the-missing-ira,2012
16,2012-01-01,Construction of Clark budget terminal seen starting this year,http://business.inquirer.net/37863/construction-of-clark-budget-terminal-seen-starting-this-year,2012
17,2012-01-02,Gov’t to disburse P141.8B for infra work,http://business.inquirer.net/38009/gov%e2%80%99t-to-disburse-p141-8b-for-infra-work,2012
18,2012-01-02,Share prices post gains on first trading day,http://business.inquirer.net/38005/share-prices-post-gains-on-first-trading-day,2012
19,2012-01-02,Yearender: DoE managed the unmanageable in 2011,http://business.inquirer.net/38001/yearender-doe-managed-the-unmanageable-in-2011,2012
20,2012-01-02,"In ’11, BoI reported 22% rise in investments",http://business.inquirer.net/37997/in-%e2%80%9911-boi-reported-22-rise-in-investments,2012
21,2012-01-02,Agribusiness firm selling 28% stake to Black River,http://business.inquirer.net/37993/agribusiness-firm-selling-28-stake-to-black-river,2012
22,2012-01-02,Eastern earmarks P500M for capex,http://business.inquirer.net/37989/eastern-earmarks-p500m-for-capex,2012
23,2012-01-02,Postscripts of 2011,http://business.inquirer.net/37985/postscripts-of-2011,2012
24,2012-01-02,DMCI keen on Napocor’s SPUG areas,http://business.inquirer.net/37979/dmci-keen-on-napocor%e2%80%99s-spug-areas,2012
25,2012-01-02,IPVG gets PhilExim guarantee,http://business.inquirer.net/37975/ipvg-gets-philexim-guarantee,2012
26,2012-01-02,Palace approves P1.16B budget for NAIA 1 rehabilitation,http://business.inquirer.net/37965/palace-approves-p1-16b-budget-for-naia-1-rehabilitation,2012
27,2012-01-02,Megaworld cited as PH’s top condo from 2000-2011,http://business.inquirer.net/37943/megaworld-cited-as-phs-top-condo-from-2000-2011,2012
28,2012-01-03,US stocks sizzle in first trades of year,http://business.inquirer.net/38149/us-stocks-sizzle-in-first-trades-of-year,2012
29,2012-01-03,Mining regulators eye bidding out 3M hectares of freed up areas,http://business.inquirer.net/38143/mining-regulators-eye-bidding-out-3m-hectares-of-freed-up-areas,2012
30,2012-01-03,Coconut oil exports down 39%,http://business.inquirer.net/38137/coconut-oil-exports-down-39,2012
31,2012-01-03,Gov’t seen to rev ‘all engines of growth’,http://business.inquirer.net/38131/gov%e2%80%99t-seen-to-rev-%e2%80%98all-engines-of-growth%e2%80%99,2012
32,2012-01-03,7-year treasury bond rate falls as inflows start to pick up,http://business.inquirer.net/38127/7-year-treasury-bond-rate-falls-as-inflows-start-to-pick-up,2012
33,2012-01-03,Wireless wings,http://business.inquirer.net/38123/wireless-wings,2012
34,2012-01-03,Is the world coming to an end in 2012?,http://business.inquirer.net/38119/is-the-world-coming-to-an-end-in-2012,2012
35,2012-01-03,Asian shares rise on China economic data,http://business.inquirer.net/38115/asian-shares-rise-on-china-economic-data,2012
36,2012-01-03,Tough year seen for currency trading,http://business.inquirer.net/38111/tough-year-seen-for-currency-trading,2012
37,2012-01-03,Cyber criminals seen focusing on SE Asia,http://business.inquirer.net/38107/cyber-criminals-seen-focusing-on-se-asia,2012
38,2012-01-03,DTI sees doubling of exports by 2016,http://business.inquirer.net/38103/dti-sees-doubling-of-exports-by-2016,2012
39,2012-01-03,5 foreign terror suspects hiding on Jolo—military,http://business.inquirer.net/38097/5-foreign-terror-suspects-hiding-on-jolo%e2%80%94military,2012
40,2012-01-03,Memorable drives of 2011,http://business.inquirer.net/38091/memorable-drives-of-2011,2012
41,2012-01-03,2011’s shows were a sign of strength despite some challenges,http://business.inquirer.net/38087/2011%e2%80%99s-shows-were-a-sign-of-strength-despite-some-challenges,2012
42,2012-01-03,Lee is new man at the helm at UMC,http://business.inquirer.net/38083/lee-is-new-man-at-the-helm-at-umc,2012
43,2012-01-03,"Frisky and frugal Suzuki, below P450k",http://business.inquirer.net/38079/frisky-and-frugal-suzuki-below-p450k,2012
44,2012-01-03,"Philippine market breaches 4,400 level",http://business.inquirer.net/38073/philippine-market-breaches-4400-level,2012
45,2012-01-03,Shell Philippines withdraws 45% stake in Nido oil exploration project,http://business.inquirer.net/38067/shell-philippines-withdraws-45-stake-in-nido-oil-exploration-project,2012
46,2012-01-03,Aboitiz inks 20-yr deal with smelting firm,http://business.inquirer.net/38061/aboitiz-inks-20-yr-deal-with-smelting-firm,2012
47,2012-01-03,LGUGC gets double-A credit rating,http://business.inquirer.net/38057/lgugc-gets-double-a-credit-rating,2012
48,2012-01-03,Macau casino revenue in 2011 surged to $33.5B,http://business.inquirer.net/38053/macau-casino-revenue-in-2011-surged-to-33-5b,2012
49,2012-01-03,"Oil higher in Asia on Chinese data, Mideast tensions",http://business.inquirer.net/38045/oil-higher-in-asia-on-chinese-data-mideast-tensions,2012
