,date,headline,link,year
0,2014-01-01,‘Infra spending must be 5% of GDP’,http://business.inquirer.net/158499/infra-spending-must-be-5-of-gdp,2014
1,2014-01-01,Caticlan runway set for upgrade,http://business.inquirer.net/158495/caticlan-runway-set-for-upgrade,2014
2,2014-01-01,Muted trade seen,http://business.inquirer.net/158491/muted-trade-seen,2014
3,2014-01-01,UBS bullish on PH property sector,http://business.inquirer.net/158487/ubs-bullish-on-ph-property-sector,2014
4,2014-01-01,Throw the book at the Don Mariano group,http://business.inquirer.net/158483/throw-the-book-at-the-don-mariano-group,2014
5,2014-01-01,BSP to pore over credit card transactions,http://business.inquirer.net/158479/bsp-to-pore-over-credit-card-transactions,2014
6,2014-01-01,"Call centers to provide more jobs in 2014, says congressman",http://business.inquirer.net/158471/call-centers-to-provide-more-jobs-in-2014-says-congressman,2014
7,2014-01-01,"Sin tax law ups prices of tobacco, booze anew",http://business.inquirer.net/158465/sin-tax-law-ups-prices-of-tobacco-booze-anew,2014
8,2014-01-01,CEO predictions for the next 100 years of flying,http://business.inquirer.net/158453/ceo-predictions-for-the-next-100-years-of-flying,2014
9,2014-01-02,Asian shares mixed at start of new year,http://business.inquirer.net/158599/asian-shares-mixed-at-start-of-new-year,2014
10,2014-01-02,Palace not worried by PH drop in Forbes ranking,http://business.inquirer.net/158589/palace-not-worried-by-ph-drop-in-forbes-ranking,2014
11,2014-01-02,PSEi rises on first day of 2014 trading,http://business.inquirer.net/158577/psei-rises-on-first-day-of-2014-trading,2014
12,2014-01-02,Yao infuses RC Cola assets into MAKE,http://business.inquirer.net/158567/yao-infuses-rc-cola-assets-into-make,2014
13,2014-01-02,Philrealty selling controlling stake in Meridian,http://business.inquirer.net/158555/philrealty-selling-controlling-stake-in-meridian,2014
14,2014-01-02,US dollar trade near five-year high against yen,http://business.inquirer.net/158551/us-dollar-trade-near-five-year-high-against-yen,2014
15,2014-01-02,SilkAir to fly to Kalibo by May,http://business.inquirer.net/158539/silkair-to-fly-to-kalibo-by-may,2014
16,2014-01-02,Fiat strikes deal for full merger with Chrysler,http://business.inquirer.net/158527/fiat-strikes-deal-for-full-merger-with-chrysler,2014
17,2014-01-02,Top 10 gifts of 2013 show US philanthropy rebound,http://business.inquirer.net/158519/top-10-gifts-of-2013-show-us-philanthropy-rebound,2014
18,2014-01-02,Vitamin E may slow Alzheimer’s disease progression,http://business.inquirer.net/158505/vitamin-e-may-slow-alzheimers-disease-progression,2014
19,2014-01-03,Asian shares slip after Wall Street retreat,http://business.inquirer.net/158703/asian-stocks-fall-further-on-wall-street-decline,2014
20,2014-01-03,PSEi loses 0.61%,http://business.inquirer.net/158813/psei-loses-0-61,2014
21,2014-01-03,PH improves standing in global competitive reports,http://business.inquirer.net/158809/ph-improves-standing-in-global-competitive-reports,2014
22,2014-01-03,Gov’t urged to resolve power rate issue,http://business.inquirer.net/158805/govt-urged-to-resolve-power-rate-issue,2014
23,2014-01-03,"BSP sees more revenue from BPO, tourism sectors",http://business.inquirer.net/158799/bsp-sees-more-revenue-from-bpo-tourism-sectors,2014
24,2014-01-03,Gov’t consolidates statistics agencies,http://business.inquirer.net/158795/govt-consolidates-statistics-agencies,2014
25,2014-01-03,Independent oil players build retail muscle,http://business.inquirer.net/158791/independent-oil-players-build-retail-muscle,2014
26,2014-01-03,Philex-led consortium gets SC75 contract,http://business.inquirer.net/158787/philex-led-consortium-gets-sc75-contract,2014
27,2014-01-03,San Miguel unit taps IBM for IT needs,http://business.inquirer.net/158783/san-miguel-unit-taps-ibm-for-it-needs,2014
28,2014-01-03,RCBC completes sale of 65% stake in Bankard,http://business.inquirer.net/158779/rcbc-completes-sale-of-65-stake-in-bankard,2014
29,2014-01-03,Here’s to a smaller waistline in 2014,http://business.inquirer.net/158761/heres-to-a-smaller-waistline-in-2014,2014
30,2014-01-03,Heart problem in elderly patients up at annual meet,http://business.inquirer.net/158757/heart-problem-in-elderly-patients-up-at-annual-meet,2014
31,2014-01-03,"Rejoinder on ‘happy thoughts, big dreams’",http://business.inquirer.net/158753/rejoinder-on-happy-thoughts-big-dreams,2014
32,2014-01-03,Technology firm offers to construct 4 quake-proof classrooms for P2.26M,http://business.inquirer.net/158743/technology-firm-offers-to-construct-4-quake-proof-classrooms-for-p2-26m,2014
33,2014-01-03,Applying feng shui principles when buying a house,http://business.inquirer.net/158729/applying-feng-shui-principles-when-buying-a-house,2014
34,2014-01-03,Building resolutions for 2014,http://business.inquirer.net/158725/building-resolutions-for-2014,2014
35,2014-01-03,Cebu Pacific eyes to acquire Tigerair Philippines,http://business.inquirer.net/158717/cebu-pacific-to-acquire-tigerair-philippines,2014
36,2014-01-03,PH stocks end 5-day winning streak,http://business.inquirer.net/158711/ph-stocks-end-5-day-winning-streak,2014
37,2014-01-03,China shares down 0.47 percent in morning trade,http://business.inquirer.net/158695/china-shares-down-0-47-percent-in-morning-trade,2014
38,2014-01-03,Hong Kong stocks open 1.04 percent lower,http://business.inquirer.net/158689/hong-kong-stocks-open-1-04-percent-lower,2014
39,2014-01-03,Spreads on PH debt paper up,http://business.inquirer.net/158685/spreads-on-ph-debt-paper-up,2014
40,2014-01-03,US stocks fall on new year’s 1st day of trade,http://business.inquirer.net/158675/us-stocks-fall-on-new-years-1st-day-of-trade,2014
41,2014-01-03,Labor group claims victory in PAL row,http://business.inquirer.net/158669/labor-group-claims-victory-in-pal-row,2014
42,2014-01-03,Bidder for LRT-MRT single ticketing system seeking transparency,http://business.inquirer.net/158663/bidder-for-lrt-mrt-single-ticketing-system-seeking-transparency,2014
43,2014-01-03,Gov’t allots P30B as PPP backup kitty,http://business.inquirer.net/158655/govt-allots-p30b-as-ppp-backup-kitty,2014
44,2014-01-03,Ease of doing business in PH,http://business.inquirer.net/158651/ease-of-doing-business-in-ph,2014
45,2014-01-03,"Malitbog power plant unit in Leyte back in operation, EDC says",http://business.inquirer.net/158647/malitbog-power-plant-unit-in-leyte-back-in-operation-edc-says,2014
46,2014-01-03,More workers lost jobs in 9 months to Sept.,http://business.inquirer.net/158643/more-workers-lost-jobs-in-9-months-to-sept,2014
47,2014-01-03,"PH set to take part in more int’l fashion, furniture fairs",http://business.inquirer.net/158639/ph-set-to-take-part-in-more-intl-fashion-furniture-fairs,2014
48,2014-01-03,Conductress of ‘Symphony of Desserts’ has nice problem,http://business.inquirer.net/158631/conductress-of-symphony-of-desserts-has-nice-problem,2014
49,2014-01-03,"DM9 JaymeSyfu, Jayme top 2013 Campaign Asia Pacific Awards",http://business.inquirer.net/158623/dm9-jaymesyfu-jayme-top-2013-campaign-asia-pacific-awards,2014
50,2014-01-03,Is there innovation in these two older ad media industries?,http://business.inquirer.net/158619/is-there-innovation-in-these-two-older-ad-media-industries,2014
51,2014-01-03,How to communicate effectively,http://business.inquirer.net/158615/how-to-communicate-effectively,2014
52,2014-01-03,US firms test ‘unlimited vacation’,http://business.inquirer.net/158607/us-firms-test-unlimited-vacation,2014
53,2014-01-04,"Who makes the best CEOs?  ‘The CFOs!,’ say firms’ finance guys",http://business.inquirer.net/158891/who-makes-the-best-ceos-the-cfos-say-firms-finance-guys,2014
54,2014-01-04,CEO profile: Josephine Gotianun-Yap,http://business.inquirer.net/158889/ceo-profile-josephine-gotianun-yap,2014
55,2014-01-04,The spoken word is ‘mightier than the sword’,http://business.inquirer.net/158887/the-spoken-word-is-mightier-than-the-sword,2014
56,2014-01-04,Diamond Hotel’s awardee overcomes childhood poverty,http://business.inquirer.net/158885/diamond-hotels-awardee-overcomes-childhood-poverty,2014
57,2014-01-04,US stocks mostly lower following Bernanke remarks,http://business.inquirer.net/158875/us-stocks-mostly-lower-following-bernanke-remarks,2014
58,2014-01-04,Now showing for stargazers: Meteor shower,http://business.inquirer.net/158865/now-showing-for-stargazers-meteor-shower,2014
59,2014-01-04,"Airlines to revise manuals on cell phones, laptops",http://business.inquirer.net/158853/airlines-to-revise-manuals-on-cell-phones-laptops,2014
60,2014-01-04,In the Know: Naphthalene,http://business.inquirer.net/158845/in-the-know-naphthalene,2014
61,2014-01-04,Cebu Pacific eyes Tiger Airways’ PH unit,http://business.inquirer.net/158829/cebu-pacific-eyes-tiger-airways-ph-unit,2014
62,2014-01-05,Bid issues delay award of 2 PPP deals,http://business.inquirer.net/159025/bid-issues-delay-award-of-2-ppp-deals,2014
63,2014-01-05,Third time lucky?,http://business.inquirer.net/159021/third-time-lucky,2014
64,2014-01-05,BOI sees 10% growth in investment registration,http://business.inquirer.net/159017/boi-sees-10-growth-in-investment-registration,2014
65,2014-01-05,BPI targets P20-B ’14 profit,http://business.inquirer.net/159013/bpi-targets-p20-b-14-profit,2014
66,2014-01-05,After the gold rust,http://business.inquirer.net/159009/after-the-gold-rust,2014
67,2014-01-05,Furniture firms expect 10% rise in profit,http://business.inquirer.net/159005/furniture-firms-expect-10-rise-in-profit,2014
68,2014-01-05,Dec. inflation seen at over 4%,http://business.inquirer.net/159001/dec-inflation-seen-at-over-4,2014
69,2014-01-05,LNG roadmap may come out in Q1,http://business.inquirer.net/158997/lng-roadmap-may-come-out-in-q1,2014
70,2014-01-05,Power transmission rates cut,http://business.inquirer.net/158993/power-transmission-rates-cut,2014
71,2014-01-05,PPP hoped to finally gain momentum in ’14,http://business.inquirer.net/158989/ppp-hoped-to-finally-gain-momentum-in-14,2014
72,2014-01-05,Regulator to allow peso to depreciate further,http://business.inquirer.net/158985/regulator-to-allow-peso-to-depreciate-further,2014
